2015,565
1609,880
170,307
21,23
20,525
347,994
682,752
1762,554
1741,889
1731,959
195,465
668,716
143,379
360,392
448,939
689,893
1522,432
1607,609
311,456
8123,348
16,569
1188,483
6724,782
1177,289
77,22
2244,894
6206,822
2833,684
5727,937
1165,830
1161,940
2080,905
2123,276
2085,399
62,191
742,91
10686,426
10747,821
10912,906
11165,782
1634,238
1882,649
1556,409
1888,662
422,489
610,346
521,422
678,995
1448,711
1504,778
146,579
48,485
11,682
1686,357
61,585
18,930
49,789
423,665
347,738
1492,421
1154,873
1707,819
1439,951
513,132
25,192
91,332
306,977
413,797
966,994
1549,357
1716,864
8966,978
8969,751
9200,672
156,352
39,316
356,412
18,316
13,436
169,755
116,632
112,342
41,18
887,931
35,495
65,780
18,513
602,803
805,699
1020,107
664,173
38,581
315,752
11,669
8449,853
8747,406
1531,421
8718,352
550,344
437,169
661,464
381,750
443,138
1003,449
1286,24
1317,0
1774,751
2043,674
2071,307
2246,420
3162,504
96,57
39,838
195,654
24,658
977,212
891,107
1099,204
2509,898
2152,57
1093,619
50,950
89,963
17,442
353,426
413,788
546,853
1507,960
1705,357
1820,399
1999,335
570,308
14,373
82,169
591,391
34,202
941,43
1099,590
1720,868
2369,950
2073,962
56,232
101,486
61,955
397,993
11,40
15,866
708,988
1283,128
1084,627
18,478
25,980
38,630
469,270
532,298
880,83
754,650
899,393
36,25
541,886
1025,511
197,369
39,485
261,179
340,125
498,168
1174,635
924,791
1627,206
1620,917
70,30
37,134
100,316
9,648
55,22
10,367
525,328
555,163
32,830
635,419
1395,478
66,732
38,4
254,212
11,101
122,500
449,699
476,342
530,142
1285,589
1203,758
16,66
37,48
17,408
17,60
10,655
299,862
733,610
397,883
190,93
16,823
34,802
73,98
50,8
276,854
14,93
12,204
868,575
517,945
361,683
14,279
50,616
38,34
52,429
64,303
27,151
339,224
253,285
1119,860
102,868
1355,77
48,732
93,158
16,488
16,295
334,948
291,275
692,535
1044,891
1093,536
1360,511
132,341
80,342
92,791
336,67
407,776
1348,965
1450,127
1290,575
2819,656
2969,304
54,571
15,807
13,400
54,62
14,268
373,495
121,591
20,39
1251,922
1299,882
16,203
64,402
26,276
22,996
309,85
23,871
337,561
1086,656
1241,451
1765,524
54,167
13,974
14,74
50,601
249,796
297,97
349,591
358,0
1002,884
953,761
34,168
52,431
22,214
150,64
71,3
529,465
583,720
673,121
710,592
1541,984
1879,440
9,753
24,721
9,259
9,487
365,60
14,292
448,261
434,509
971,386
433,784
13,256
21,26
30,250
10,681
35,923
220,241
13,267
16,561
582,899
1328,948
55,643
42,956
41,327
13,708
381,25
403,691
381,33
1045,234
31,913
932,657
1052,22
1285,303
10509,892
10528,631
3784,486
3664,823
4190,596
1140,488
55,696
120,910
12,867
215,44
828,88
1630,530
1641,170
996,270
1211,95
46,80
53,466
275,118
162,609
486,404
544,490
677,594
772,79
1692,232
1778,882
1864,167
22,52
9,948
9,138
89,94
9,182
13,139
671,918
966,210
1001,770
1668,944
20,522
16,980
50,61
220,823
244,299
713,589
861,920
18,258
85,480
250,491
39,436
226,492
140,12
306,925
353,949
406,526
466,565
866,589
1399,761
1509,599
255,457
13,103
58,112
422,872
237,62
1113,52
22,594
674,338
726,55
611,532
36,626
15,699
71,350
101,861
16,422
82,967
109,784
82,883
292,720
303,249
230,630
99,65
34,467
23,948
11,785
1127,116
1147,81
1217,195
1435,589
1034,537
19,442
242,460
360,859
11,756
15,55
456,718
801,37
891,57
897,476
185,440
28,663
21,21
19,342
652,680
639,494
474,452
1770,767
1696,285
48,661
2676,781
29,115
70,843
15,33
11,601
459,168
385,202
1289,803
1629,457
1580,636
13,292
13,762
14,693
14,257
326,678
688,488
1890,949
12,173
16,305
57,173
614,218
42,698
22,930
354,471
248,330
327,303
283,59
322,240
1123,902
23,732
6184,487
139,902
36,169
35,537
59,259
526,472
653,422
1421,868
1899,748
1837,227
58,104
43,61
182,570
121,137
12,779
16,23
482,313
443,976
635,598
1283,253
1252,267
19,517
33,32
22,64
13,245
452,872
379,19
35,84
10,832
465,103
702,106
106,306
96,521
9,31
25,670
875,796
1946,891
2909,956
2707,316
1964,316
2878,503
30,400
19,851
112,537
23,435
1082,804
1334,272
1171,711
1938,661
99,226
2281,550
63,369
349,368
46,473
463,688
196,541
377,466
516,361
1235,966
59,333
231,576
34,884
43,559
39,273
671,29
1233,607
1251,702
831,232
838,579
898,913
635,279
10,187
40,760
370,60
23,547
541,551
928,418
997,7
24,516
118,313
162,486
13,689
62,280
278,51
9,199
68,869
30,74
195,284
1291,152
17,380
177,71
65,27
49,258
22,187
23,502
10,153
237,931
1111,621
1597,986
1800,818
3709,987
83,506
13,235
21,248
22,586
153,20
11,195
236,332
662,829
478,691
4268,480
18,70
33,261
27,641
74,462
11,198
451,97
498,180
649,935
